AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,68,0.1966667,12.78905,60,12,0,106.3311,23.33333,1
17,72,0.4666667,8.865799,77,15.4,0,124.1639,9.0625,1
5,66,0.1233333,25.57255,57,11.4,0,125.4598,37.14286,2
15,75,0.05333333,21.71386,88,17.6,0,110.9308,70.5,3
8,72,0.05666667,22.00335,73,14.6,0,106.2962,49.75,0
10,76,0.006666667,32.5221,86,17.2,0,91.19358,9,0
6,74,0,29.41733,59,11.8,0,83.47717,0,0
3,74,0.1533333,20.30813,63,12.6,0,99.966,9.166667,0
19,72,0.03,17.93475,66,13.2,0,98.43393,57.66667,1
16,69,0.2833333,14.63991,87,17.4,0,124.744,26.875,1
9,71,0.1733333,18.30953,88,17.6,0,111.3335,27.875,0
12,76,0.4933333,11.56278,65,13,0,126.7893,15.2,0
4,70,0.2,15.61542,92,18.4,0,117.6792,20.77778,1
14,69,0.1433333,19.98668,89,17.8,0,125.4108,23.18182,0
2,69,0.06333333,16.1514,76,15.2,0,89.50638,69.75,0
11,71,0,31.07488,49,9.8,0,71.63471,0,0
1,70,0.03666667,24.19272,57,11.4,0,104.0414,96,1
18,69,0.3233333,11.45437,74,14.8,0,120.7598,12.4,2
7,72,0.6433333,10.39853,78,15.6,0,130.7619,8.3,0
13,73,0.06,17.75502,57,11.4,0,93.65501,33.14286,0
0,69,0.1666667,16.72652,68,13.6,0,117.7367,31.25,1
17,73,0.1066667,22.4612,82,16.4,0,108.5111,36.85714,0
5,67,0.1566667,19.59814,62,12.4,0,113.1527,28.625,0
15,76,0.02,19.38317,91,18.2,0,91.54099,91.33334,0
8,73,0.66,9.015185,68,13.6,0,130.42,14.57143,0
10,77,0.006666667,27.17226,70,14,0,89.74442,191,1
6,75,0.3566667,11.9206,66,13.2,0,111.9172,15.5,1
3,75,0.01333333,27.49195,60,12,0,84.80849,99,0
19,73,0.1666667,22.64553,92,18.4,0,101.769,34.57143,1
16,70,0.3766667,14.28738,63,12.6,0,112.5624,20.77778,1
9,72,0.01,25.05952,81,16.2,0,87.20995,99,0
12,77,0.06,18.6674,48,9.6,0,93.56429,42.2,0
4,71,0.4666667,10.92657,77,15.4,0,130.0087,11.33333,0
14,70,0.7566667,8.74094,73,14.6,0,107.0517,9.125,0
2,70,0.14,22.37346,88,17.6,0,122.3632,23.45455,0
11,72,0,24.49426,67,13.4,0,79.01875,0,0
1,71,0.43,12.02596,85,17,0,122.151,10.6875,0
18,70,0,31.45733,71,14.2,0,84.14218,0,0
7,73,0.1666667,17.82786,60,12,0,127.5199,26,1
13,74,0.1733333,16.74071,72,14.4,0,112.5474,14.29412,0
0,70,0.1166667,17.4045,73,14.6,0,115.3623,26.1,0
17,74,0.4033333,13.09068,76,15.2,0,118.0885,22.375,0
5,68,0.08666667,25.98863,91,18.2,0,101.5573,42,0
15,77,0.04,29.2219,71,14.2,0,92.30673,39.83333,0
8,74,0.8766667,5.044166,77,15.4,0,116.1067,4.111111,0
10,78,0.49,9.778792,93,18.6,0,110.8011,13.90909,1
6,76,0.2033333,19.48143,94,18.8,0,106.8287,23.88889,0
3,76,0.1666667,16.73067,124,24.8,0,109.5418,21,1
19,74,0.16,19.23354,105,21,0,95.11928,21,1
16,71,0.2,14.53227,88,17.6,0,109.1426,19.75,0
9,73,0.05666667,17.72292,78,15.6,0,95.00117,32.5,0
12,78,0,25.71303,78,15.6,0,79.7001,0,0
4,72,0.2933333,9.597992,75,15,0,119.1074,17.81818,1
14,71,0.003333333,28.94662,85,17,0,90.50616,22,0
2,71,0.08333334,21.0148,79,15.8,0,94.30103,54.8,0
11,73,0.57,7.856981,70,14,0,121.6684,15.875,0
1,72,0.1133333,20.57413,63,12.6,0,119.1061,23.8,0
18,71,0.2533333,11.04697,73,14.6,0,133.942,20.36364,1
7,74,0,27.58686,76,15.2,0,84.02715,0,0
13,75,0.05666667,21.59066,95,19,0,89.6689,46.4,0
0,71,0.46,10.33697,51,10.2,0,108.5529,23,1
17,75,0.01666667,28.75104,58,11.6,0,100.4346,48,0
5,69,0.2733333,12.44616,92,18.4,0,89.72631,41.25,0
15,78,0.04,27.12333,90,18,0,110.0591,71,0
8,75,0.5366667,8.460597,70,14,0,124.7028,13.9,0
10,79,0.1733333,17.26901,63,12.6,0,132.4359,18.23077,1
6,77,0.01666667,27.87054,82,16.4,0,94.66409,125,1
3,77,0,38.21533,47,9.4,0,74.25847,0,0
19,75,0.42,15.44548,59,11.8,0,107.5278,20.75,0
16,72,0.01,28.87143,51,10.2,0,90.77618,33.5,0
9,74,0.36,12.688,74,14.8,0,125.6864,9.529411,0
12,79,0.1366667,14.71609,67,13.4,0,101.1935,64.75,0
4,73,0.21,18.24168,80,16,2,149.9131,23.4,1
14,72,0.11,21.17163,46,9.2,0,113.876,26.33333,0
2,72,0.02333333,21.47418,54,10.8,0,95.38672,122.5,0
11,74,0.1833333,17.34872,78,15.6,0,110.9127,21.36364,1
1,73,0.03,26.26463,51,10.2,0,88.35763,89.66666,0
18,72,0.1833333,19.82799,72,14.4,0,113.4638,34.85714,0
7,75,0.1,27.17618,77,15.4,0,106.6672,54,0
13,76,0.03666667,23.19837,58,11.6,0,96.18629,92,0
0,72,0.1033333,21.67125,72,14.4,0,107.8004,35.5,0
17,76,0.07333333,22.35882,62,12.4,0,88.30177,69.5,0
5,70,0.02,25.7395,82,16.4,0,98.24386,23.5,1
15,79,0.1,21.60892,80,16,0,129.1617,29.22222,3
8,76,0.06666667,22.55025,79,15.8,0,100.3379,31.11111,0
10,80,0.27,17.09558,62,12.4,0,112.9175,19.90909,0
6,78,0.01333333,27.28326,55,11,0,96.83408,125,1
3,78,0.3166667,12.66591,53,10.6,0,111.8678,19.77778,0
19,76,0.1566667,14.43052,76,15.2,0,92.77328,22.22222,0
16,73,0.2133333,20.67002,70,14,0,121.3215,14.93333,0
9,75,0.13,12.47695,88,17.6,0,97.54536,28.22222,0
12,80,0.04666667,27.47379,72,14.4,0,93.28077,47,0
4,74,0.02666667,24.28556,67,13.4,0,102.2492,81,0
14,73,0,29.68758,62,12.4,0,86.59647,0,2
2,73,0.1733333,20.53617,76,15.2,0,109.3994,31.85714,1
11,75,0.2166667,12.31094,75,15,0,91.50931,24.66667,0
1,74,0.003333333,31.62119,74,14.8,0,89.90491,156,0
18,73,0.1733333,12.00703,77,15.4,0,107.3427,18,1
7,76,0.2033333,12.47081,50,10,0,91.56937,29.66667,0
13,77,0.22,14.15828,44,8.8,0,106.2111,38.16667,0
0,73,0.04333333,22.27043,73,14.6,0,100.6379,54.5,0
17,77,0.03,21.75366,37,7.4,0,92.5919,22,0
5,71,0.1,12.90633,58,11.6,0,101.9086,36.6,0
15,80,0.1866667,12.81406,55,11,0,101.9675,59.33333,0
8,77,0.07,23.7897,89,17.8,0,95.10565,66,0
10,81,0.003333333,20.25561,58,11.6,0,90.54217,218,0
6,79,0.08666667,15.89553,63,12.6,0,99.69283,87,0
3,79,0.1133333,18.08342,72,14.4,0,114.0263,36.57143,1
19,77,0.2,17.80916,76,15.2,0,109.2914,21.625,0
16,74,0,33.51541,47,9.4,0,73.57054,0,0
9,76,0.17,14.07433,72,14.4,0,101.9513,26.625,1
12,81,0.07,24.43499,65,13,0,98.79407,15.42857,1
4,75,0.006666667,21.95329,45,9,0,90.69549,298,0
14,74,0.2033333,15.08712,41,8.2,0,94.68913,47.8,0
2,74,0.01333333,29.10917,45,9,0,92.27044,107.5,0
11,76,0.1366667,24.49012,56,11.2,0,119.8445,47.75,1
1,75,0.6966667,9.158106,57,11.4,0,97.98897,13,1
18,74,0,28.76556,42,8.4,0,84.01771,0,0
7,77,0.05666667,18.34161,56,11.2,0,101.1254,32.5,0
13,78,0.4066667,11.91974,63,12.6,0,127.4711,24.42857,1
0,74,0.43,12.94556,71,14.2,0,115.3992,14.25,0
17,78,0.2166667,13.27564,59,11.8,0,103.5566,36.66667,0
5,72,0.11,23.71659,67,13.4,0,116.2851,37.85714,0
15,81,0.006666667,28.87093,32,6.4,0,88.75446,182,0
8,78,0.1,18.65102,75,15,0,126.7373,49.2,0
10,82,0,31.96089,97,19.4,0,80.83152,0,0
6,80,0.2366667,17.15642,89,17.8,0,111.5032,22.9,0
3,80,0.04666667,21.56771,41,8.2,0,94.45859,123,0
19,78,0.54,9.608796,47,9.4,1,141.817,7.357143,1
16,75,0.2933333,12.33245,38,7.6,0,130.7599,30,0
9,77,0.08333334,23.05253,68,13.6,0,104.8077,36.2,0
12,82,0.006666667,25.32953,91,18.2,0,94.373,298,0
4,76,0.5866666,8.464341,62,12.4,0,114.0764,13,1
14,75,0.2033333,14.80687,52,10.4,0,124.1039,47.8,0
2,75,0.06666667,19.32932,76,15.2,0,104.2514,40.4,0
11,77,0.02666667,25.7596,72,14.4,0,99.19293,56,1
1,76,0.02333333,27.24192,48,9.6,0,100.0324,132,0
18,75,0.7033333,9.314131,61,12.2,0,98.3633,14.83333,0
7,78,0.2466667,12.32709,72,14.4,0,101.4895,27,1
13,79,0.08666667,15.36518,64,12.8,0,95.2356,39.14286,0
0,75,0.04,29.82273,63,12.6,0,98.44218,47.66667,1
17,79,0.29,15.27544,67,13.4,0,98.12718,15.21429,0
5,73,0,27.01594,53,10.6,0,83.42366,0,0
15,82,0.3066667,17.44175,59,11.8,0,119.1283,22.22222,0
8,79,0,28.93078,75,15,0,80.83839,0,1
10,83,0,30.31859,82,16.4,0,79.67621,0,0
6,81,0.42,12.83116,67,13.4,0,118.2767,17.4,0
3,81,0.1333333,18.53183,66,13.2,0,93.97311,28.88889,0
19,79,0.003333333,20.81215,84,16.8,0,88.60023,28,0
16,76,0.06666667,14.68557,80,16,0,85.37711,59.66667,0
9,78,0,32.74618,67,13.4,0,80.88436,0,0
12,83,0.05,15.02329,56,11.2,0,88.41586,45,1
4,77,0.4866667,13.93067,59,11.8,0,111.8317,8.857142,0
14,76,0.11,19.75019,70,14,0,106.2797,38.14286,0
2,76,0.08,24.61937,68,13.6,0,97.73701,36.57143,0
11,78,0.1766667,14.5813,63,12.6,0,126.2475,25,0
1,77,0.21,19.90821,77,15.4,0,110.0066,21.36364,2
18,76,0.02666667,22.41181,71,14.2,0,99.23495,84.33334,0
7,79,0,19.15948,65,13,0,85.12142,0,0
13,80,0.04333333,30.54308,42,8.4,0,93.5696,71.5,0
0,76,0.33,15.29982,65,13,0,117.8957,11.14286,0
17,80,0.78,9.070773,62,12.4,0,120.2632,3.5,0
5,74,0.1933333,20.46008,63,12.6,0,97.75337,27.71428,0
15,83,0.02,25.9482,69,13.8,0,95.64664,62.66667,0
8,80,0,28.45893,81,16.2,0,81.33372,0,0
10,84,0.09333333,21.22368,62,12.4,0,98.99731,38.85714,0
6,82,0.1533333,16.98188,71,14.2,0,114.0039,49.4,0
3,82,0.09333333,19.14062,76,15.2,0,96.94704,19.125,0
19,80,0.13,17.36143,80,16,0,107.3122,32.25,1
16,77,0.3366667,13.02742,75,15,0,133.0828,14.25,0
9,79,0.05666667,18.71725,57,11.4,0,93.65649,70.5,0
12,84,0.003333333,29.20274,70,14,0,85.59091,138,0
4,78,0.03333334,19.83992,42,8.4,0,101.4915,228,0
14,77,0.33,11.41456,50,10,0,109.2296,18.2,0
2,77,0.01666667,26.44176,63,12.6,0,93.75941,69,1
11,79,0,25.53966,55,11,0,81.7131,0,0
1,78,0.12,18.4865,68,13.6,0,114.9,24.375,0
18,77,0.02666667,21.13073,72,14.4,0,97.52153,28.25,0
7,80,0.02,19.12684,51,10.2,0,89.13669,23,0
13,81,0.3066667,14.91617,75,15,0,114.6467,20.33333,1
0,77,0.1566667,16.62344,78,15.6,0,118.2604,17.30769,3
17,81,0.01,25.70422,68,13.6,0,96.52904,37,0
5,75,0.06666667,27.61015,80,16,0,107.3216,45.33333,0
15,84,0.2366667,16.97266,59,11.8,0,133.1309,15.53846,1
8,81,0.1166667,21.40282,70,14,0,99.37945,28.42857,0
10,85,0.08,25.61548,71,14.2,0,109.5859,34.125,0
6,83,0.5266666,10.81171,70,14,0,118.8707,15.77778,0
3,83,0.01333333,20.11947,55,11,0,92.70934,53.5,0
19,81,0.23,14.92731,81,16.2,0,115.6904,16,0
16,78,0.34,11.44499,72,14.4,0,113.0686,12.57143,0
9,80,0.3266667,14.9648,63,12.6,0,129.9197,15,0
